"SI. No","Date of Visit","Emp Code","Emp Name",Branch,"Cust Category","Cust Code","Cust Name","Route Name","Contact No","7RING Billing EX","7RING Billing For","7RING WSP EX","7RING WSP For","7RING RSP","ACC ADSTAR Billing EX","ACC ADSTAR Billing For","ACC ADSTAR WSP EX","ACC ADSTAR WSP For","ACC ADSTAR RSP","ACC F2R Billing EX","ACC F2R Billing For","ACC F2R WSP EX","ACC F2R WSP For","ACC F2R RSP","ACC HPC Billing EX","ACC HPC Billing For","ACC HPC WSP EX","ACC HPC WSP For","ACC HPC RSP","ACC SURAKSHA Billing EX","ACC SURAKSHA Billing For","ACC SURAKSHA WSP EX","ACC SURAKSHA WSP For","ACC SURAKSHA RSP","AMBUJA Billing EX","AMBUJA Billing For","AMBUJA WSP EX","AMBUJA WSP For","AMBUJA RSP","AMBUJA ADSTAR Billing EX","AMBUJA ADSTAR Billing For","AMBUJA ADSTAR WSP EX","AMBUJA ADSTAR WSP For","AMBUJA ADSTAR RSP","AMBUJA PLUS Billing EX","AMBUJA PLUS Billing For","AMBUJA PLUS WSP EX","AMBUJA PLUS WSP For","AMBUJA PLUS RSP","AMRIT Billing EX","AMRIT Billing For","AMRIT WSP EX","AMRIT WSP For","AMRIT RSP","ANWAR Billing EX","ANWAR Billing For","ANWAR WSP EX","ANWAR WSP For","ANWAR RSP","ATIBAL Billing EX","ATIBAL Billing For","ATIBAL WSP EX","ATIBAL WSP For","ATIBAL RSP","BANGUR Billing EX","BANGUR Billing For","BANGUR WSP EX","BANGUR WSP For","BANGUR RSP","BASUNDHARA Billing EX","BASUNDHARA Billing For","BASUNDHARA WSP EX","BASUNDHARA WSP For","BASUNDHARA RSP","BEST Billing EX","BEST Billing For","BEST WSP EX","BEST WSP For","BEST RSP","BLACK TIGER Billing EX","BLACK TIGER Billing For","BLACK TIGER WSP EX","BLACK TIGER WSP For","BLACK TIGER RSP","BLACK TIGER OPC 43 Billing EX","BLACK TIGER OPC 43 Billing For","BLACK TIGER OPC 43 WSP EX","BLACK TIGER OPC 43 WSP For","BLACK TIGER OPC 43 RSP","BLACK TIGER OPC 53 Billing EX","BLACK TIGER OPC 53 Billing For","BLACK TIGER OPC 53 WSP EX","BLACK TIGER OPC 53 WSP For","BLACK TIGER OPC 53 RSP","BLACK TIGER PPC Billing EX","BLACK TIGER PPC Billing For","BLACK TIGER PPC WSP EX","BLACK TIGER PPC WSP For","BLACK TIGER PPC RSP","CCI Billing EX","CCI Billing For","CCI WSP EX","CCI WSP For","CCI RSP","CROWN Billing EX","CROWN Billing For","CROWN WSP EX","CROWN WSP For","CROWN RSP","DALMIA Billing EX","DALMIA Billing For","DALMIA WSP EX","DALMIA WSP For","DALMIA RSP","DALMIA DSP Billing EX","DALMIA DSP Billing For","DALMIA DSP WSP EX","DALMIA DSP WSP For","DALMIA DSP RSP","DALMIA OPC 43 Billing EX","DALMIA OPC 43 Billing For","DALMIA OPC 43 WSP EX","DALMIA OPC 43 WSP For","DALMIA OPC 43 RSP","DALMIA OPC 53 Billing EX","DALMIA OPC 53 Billing For","DALMIA OPC 53 WSP EX","DALMIA OPC 53 WSP For","DALMIA OPC 53 RSP","DELTA Billing EX","DELTA Billing For","DELTA WSP EX","DELTA WSP For","DELTA RSP","DOUBLE BULL MASTER Billing EX","DOUBLE BULL MASTER Billing For","DOUBLE BULL MASTER WSP EX","DOUBLE BULL MASTER WSP For","DOUBLE BULL MASTER RSP","DOUBLE BULL PPC Billing EX","DOUBLE BULL PPC Billing For","DOUBLE BULL PPC WSP EX","DOUBLE BULL PPC WSP For","DOUBLE BULL PPC RSP","DRAGON Billing EX","DRAGON Billing For","DRAGON WSP EX","DRAGON WSP For","DRAGON RSP","FRESH CEMENT Billing EX","FRESH CEMENT Billing For","FRESH CEMENT WSP EX","FRESH CEMENT WSP For","FRESH CEMENT RSP","HOLCEM Billing EX","HOLCEM Billing For","HOLCEM WSP EX","HOLCEM WSP For","HOLCEM RSP","INSEE Billing EX","INSEE Billing For","INSEE WSP EX","INSEE WSP For","INSEE RSP","JAINTIA CEMENT Billing EX","JAINTIA CEMENT Billing For","JAINTIA CEMENT WSP EX","JAINTIA CEMENT WSP For","JAINTIA CEMENT RSP","JSW Billing EX","JSW Billing For","JSW WSP EX","JSW WSP For","JSW RSP","MAX Billing EX","MAX Billing For","MAX WSP EX","MAX WSP For","MAX RSP","MAX OPC 43 Billing EX","MAX OPC 43 Billing For","MAX OPC 43 WSP EX","MAX OPC 43 WSP For","MAX OPC 43 RSP","MAX OPC 53 Billing EX","MAX OPC 53 Billing For","MAX OPC 53 WSP EX","MAX OPC 53 WSP For","MAX OPC 53 RSP","MAX POWER PLUS Billing EX","MAX POWER PLUS Billing For","MAX POWER PLUS WSP EX","MAX POWER PLUS WSP For","MAX POWER PLUS RSP","MCCL Billing EX","MCCL Billing For","MCCL WSP EX","MCCL WSP For","MCCL RSP","NUVOCO CONCRETO Billing EX","NUVOCO CONCRETO Billing For","NUVOCO CONCRETO WSP EX","NUVOCO CONCRETO WSP For","NUVOCO CONCRETO RSP","NUVOCO DOUBLE BULL Billing EX","NUVOCO DOUBLE BULL Billing For","NUVOCO DOUBLE BULL WSP EX","NUVOCO DOUBLE BULL WSP For","NUVOCO DOUBLE BULL RSP","NUVOCO DURAGUARD Billing EX","NUVOCO DURAGUARD Billing For","NUVOCO DURAGUARD WSP EX","NUVOCO DURAGUARD WSP For","NUVOCO DURAGUARD RSP","NUVOCO OPC 43 Billing EX","NUVOCO OPC 43 Billing For","NUVOCO OPC 43 WSP EX","NUVOCO OPC 43 WSP For","NUVOCO OPC 43 RSP","NUVOCO OPC 53 Billing EX","NUVOCO OPC 53 Billing For","NUVOCO OPC 53 WSP EX","NUVOCO OPC 53 WSP For","NUVOCO OPC 53 RSP","PREMIER Billing EX","PREMIER Billing For","PREMIER WSP EX","PREMIER WSP For","PREMIER RSP","PREMIUM Billing EX","PREMIUM Billing For","PREMIUM WSP EX","PREMIUM WSP For","PREMIUM RSP","RAMCO Billing EX","RAMCO Billing For","RAMCO WSP EX","RAMCO WSP For","RAMCO RSP","RAMCO OPC 43 Billing EX","RAMCO OPC 43 Billing For","RAMCO OPC 43 WSP EX","RAMCO OPC 43 WSP For","RAMCO OPC 43 RSP","RAMCO OPC 53 Billing EX","RAMCO OPC 53 Billing For","RAMCO OPC 53 WSP EX","RAMCO OPC 53 WSP For","RAMCO OPC 53 RSP","RHINO Billing EX","RHINO Billing For","RHINO WSP EX","RHINO WSP For","RHINO RSP","RJ CEMENT Billing EX","RJ CEMENT Billing For","RJ CEMENT WSP EX","RJ CEMENT WSP For","RJ CEMENT RSP","SHAKTIMAN Billing EX","SHAKTIMAN Billing For","SHAKTIMAN WSP EX","SHAKTIMAN WSP For","SHAKTIMAN RSP","SHREE Billing EX","SHREE Billing For","SHREE WSP EX","SHREE WSP For","SHREE RSP","STAR CEMENT ANTIRUST Billing EX","STAR CEMENT ANTIRUST Billing For","STAR CEMENT ANTIRUST WSP EX","STAR CEMENT ANTIRUST WSP For","STAR CEMENT ANTIRUST RSP","STAR CEMENT OPC 43 Billing EX","STAR CEMENT OPC 43 Billing For","STAR CEMENT OPC 43 WSP EX","STAR CEMENT OPC 43 WSP For","STAR CEMENT OPC 43 RSP","STAR CEMENT PPC Billing EX","STAR CEMENT PPC Billing For","STAR CEMENT PPC WSP EX","STAR CEMENT PPC WSP For","STAR CEMENT PPC RSP","STAR CEMENT PPC(ADSTAR) Billing EX","STAR CEMENT PPC(ADSTAR) Billing For","STAR CEMENT PPC(ADSTAR) WSP EX","STAR CEMENT PPC(ADSTAR) WSP For","STAR CEMENT PPC(ADSTAR) RSP","STAR DHALAI MASTER TRADE Billing EX","STAR DHALAI MASTER TRADE Billing For","STAR DHALAI MASTER TRADE WSP EX","STAR DHALAI MASTER TRADE WSP For","STAR DHALAI MASTER TRADE RSP","STAR WEATHER SHIELD (TRADE) Billing EX","STAR WEATHER SHIELD (TRADE) Billing For","STAR WEATHER SHIELD (TRADE) WSP EX","STAR WEATHER SHIELD (TRADE) WSP For","STAR WEATHER SHIELD (TRADE) RSP","STRONG BOND Billing EX","STRONG BOND Billing For","STRONG BOND WSP EX","STRONG BOND WSP For","STRONG BOND RSP","SURAKSHA Billing EX","SURAKSHA Billing For","SURAKSHA WSP EX","SURAKSHA WSP For","SURAKSHA RSP","SURYA GOLD Billing EX","SURYA GOLD Billing For","SURYA GOLD WSP EX","SURYA GOLD WSP For","SURYA GOLD RSP","TAJ Billing EX","TAJ Billing For","TAJ WSP EX","TAJ WSP For","TAJ RSP","TIGER Billing EX","TIGER Billing For","TIGER WSP EX","TIGER WSP For","TIGER RSP","TOPCEM Billing EX","TOPCEM Billing For","TOPCEM WSP EX","TOPCEM WSP For","TOPCEM RSP","TOPCEM OPC 43 Billing EX","TOPCEM OPC 43 Billing For","TOPCEM OPC 43 WSP EX","TOPCEM OPC 43 WSP For","TOPCEM OPC 43 RSP","TOPCEM OPC 53 Billing EX","TOPCEM OPC 53 Billing For","TOPCEM OPC 53 WSP EX","TOPCEM OPC 53 WSP For","TOPCEM OPC 53 RSP","TOPCEM SDC Billing EX","TOPCEM SDC Billing For","TOPCEM SDC WSP EX","TOPCEM SDC WSP For","TOPCEM SDC RSP","ULTRATECH Billing EX","ULTRATECH Billing For","ULTRATECH WSP EX","ULTRATECH WSP For","ULTRATECH RSP","ULTRATECH OPC 43 Billing EX","ULTRATECH OPC 43 Billing For","ULTRATECH OPC 43 WSP EX","ULTRATECH OPC 43 WSP For","ULTRATECH OPC 43 RSP","ULTRATECH OPC 53 Billing EX","ULTRATECH OPC 53 Billing For","ULTRATECH OPC 53 WSP EX","ULTRATECH OPC 53 WSP For","ULTRATECH OPC 53 RSP","ULTRATECH PREMIUM Billing EX","ULTRATECH PREMIUM Billing For","ULTRATECH PREMIUM WSP EX","ULTRATECH PREMIUM WSP For","ULTRATECH PREMIUM RSP","ULTRATECH SUPER Billing EX","ULTRATECH SUPER Billing For","ULTRATECH SUPER WSP EX","ULTRATECH SUPER WSP For","ULTRATECH SUPER RSP","UNIQUE Billing EX","UNIQUE Billing For","UNIQUE WSP EX","UNIQUE WSP For","UNIQUE RSP","VALLEY STRONG Billing EX","VALLEY STRONG Billing For","VALLEY STRONG WSP EX","VALLEY STRONG WSP For","VALLEY STRONG RSP","VIRGO Billing EX","VIRGO Billing For","VIRGO WSP EX","VIRGO WSP For","VIRGO RSP"
1124,10-10-2025,NESPS04004,"AUROBINDA HAJONG (SPE)","LOWER ASSAM 3","Non Star",NSNE12101,"R.K HARDWARE",MANKACHAR,9101918174,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,481,0,470,480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1125,10-10-2025,NESPS04005,"ABHIJIT SARMA (SPE)","LOWER ASSAM 3","Sub Dealer",SDNE12812,"ZAMAN BROTHERS (RSSZ033)",BALIJANA,7002078309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,457,0,415,430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1126,10-10-2025,2500094,"BIJOY NOMODAS",MANIPUR,"Sub Dealer",SDNE4449,"M/S CEMENT & IRON AGENCY (RSSM1047)",MOIRANG,7005455944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,514,0,0,595,620,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1127,10-10-2025,2500016,"RATUL SAIKIA","LOWER ASSAM 2","Sub Dealer",SDNE12831,"TALUKDAR ENTERPRISE (PULAKESH) (RSST232)",ALIYA,9101959130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,457,0,435,450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1128,10-10-2025,11002067,"PRIYABRATA DUTTA","SILCHAR - KARIMGANJ",Dealer,NED237,"DEB TRADERS","NORTH KARIMGANJ",9435075826,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,497,0,460,480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1129,10-10-2025,11001955,"ABHI SARKAR","AP - TINSUKIA",Dealer,NES710,"SAWANG TRADERS",KHONSA,7085823567,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,486,0,465,480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1130,10-10-2025,2500110,"BISWAJIT KALITA","GUWAHATI RURAL","Sub Dealer",SDNE12509,"NIVA HARDWARE (RSSN351)",CHAYGAON,7086250580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,463,0,425,440,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1131,10-10-2025,11001904,"AJIT KUMAR KURMI","SILCHAR - KARIMGANJ","Non Star",NEK213,"KHAN TRADERS",KOTAMONI,8472034998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,497,0,470,490,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1132,10-10-2025,2600021,"RAJU DEB",TINSUKIA,Dealer,NED248,"D.S. ENTERPRISE",DIGBOI,9435411238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,480,0,455,480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1133,10-10-2025,11002041,"ABHISHEK BORDOLOI",TINSUKIA,"Non Star",NSNE12163,"PROJA HARDWARE",GELA-PUKHURI,9365437606,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,480,0,465,480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
